track_id,name,year,month,start_date,end_date
AL012001,ALLISON,2001,6,06-05-2001,06-19-2001
AL012010,ALEX,2010,6,06-24-2010,07-02-2010
AL012011,ARLENE,2011,6,06-28-2011,07-01-2011
AL022002,BERTHA,2002,8,08-04-2002,08-09-2002
AL022005,BRET,2005,6,06-28-2005,06-30-2005
AL022010,TD02,2010,7,07-07-2010,07-10-2010
AL022015,BILL,2015,6,06-16-2015,06-21-2015
AL032017,CINDY,2017,6,06-19-2017,06-24-2017
AL042003,CLAUDETTE,2003,7,07-07-2003,07-17-2003
AL042007,DEAN,2007,8,08-13-2007,08-23-2007
AL042008,DOLLY,2008,7,07-20-2008,07-27-2008
AL042011,DON,2011,7,07-27-2011,07-30-2011
AL042016,DANIELLE,2016,6,06-18-2016,06-21-2016
AL052000,BERYL,2000,8,08-13-2000,08-15-2000
AL052005,EMILY,2005,7,07-11-2005,07-21-2005
AL052007,ERIN,2007,8,08-15-2007,08-19-2007
AL052008,EDOUARD,2008,8,08-03-2008,08-06-2008
AL052014,DOLLY,2014,9,09-01-2014,09-04-2014
AL062002,FAY,2002,9,09-05-2002,09-11-2002
AL072005,GERT,2005,7,07-23-2005,07-25-2005
AL072012,HELENE,2012,8,08-09-2012,08-19-2012
AL072019,FERNAND,2019,9,09-03-2019,09-05-2019
AL082003,ERIKA,2003,8,08-14-2003,08-17-2003
AL082013,TD08,2013,9,09-06-2013,09-07-2013
AL092000,TD09,2000,9,09-08-2000,09-09-2000
AL092007,HUMBERTO,2007,9,09-12-2007,09-14-2007
AL092008,IKE,2008,9,09-01-2008,09-15-2008
AL092017,HARVEY,2017,8,08-16-2017,09-02-2017
AL102010,HERMINE,2010,9,09-04-2010,09-10-2010
AL102013,INGRID,2013,9,09-12-2013,09-17-2013
AL112003,GRACE,2003,8,08-30-2003,09-02-2003
AL112019,IMELDA,2019,9,09-17-2019,09-19-2019
AL132007,LORENZO,2007,9,09-25-2007,09-28-2007
AL132017,KATIA,2017,9,09-05-2017,09-09-2017
AL142004,MATTHEW,2004,10,10-08-2004,10-11-2004
AL152000,KEITH,2000,9,09-28-2000,10-06-2000
AL162019,NESTOR,2019,10,10-17-2019,10-21-2019
AL172019,OLGA,2019,10,10-25-2019,10-27-2019
EP032018,BUD,2018,6,06-09-2018,06-16-2018
EP092003,IGNACIO,2003,8,08-22-2003,08-27-2003
EP112001,JULIETTE,2001,9,09-21-2001,10-03-2001
EP112006,JOHN,2006,8,08-28-2006,09-04-2006
EP112007,HENRIETTE,2007,8,08-30-2007,09-06-2007
EP112008,JULIO,2008,8,08-23-2008,08-27-2008
EP122010,GEORGETTE,2010,9,09-20-2010,09-23-2010
EP132003,MARTY,2003,9,09-18-2003,09-26-2003
EP132004,JAVIER,2004,9,09-10-2004,09-20-2004
EP132006,LANE,2006,9,09-13-2006,09-17-2006
EP132009,JIMENA,2009,8,08-28-2009,09-05-2009
EP132013,MANUEL,2013,9,09-13-2013,09-19-2013
EP142002,KENNA,2002,10,10-22-2002,10-26-2002
EP142003,NORA,2003,10,10-01-2003,10-09-2003
EP142012,NORMAN,2012,9,09-28-2012,09-30-2012
EP152000,MIRIAM,2000,9,09-15-2000,09-17-2000
EP152008,NORBERT,2008,10,10-04-2008,10-12-2008
EP152013,OCTAVE,2013,10,10-12-2013,10-16-2013
EP152014,ODILE,2014,9,09-09-2014,09-18-2014
EP152016,NEWTON,2016,9,09-04-2016,09-08-2016
EP152019,LORENA,2019,9,09-17-2019,09-22-2019
EP162000,NORMAN,2000,9,09-20-2000,09-22-2000
EP162004,TD16,2004,10,10-25-2004,10-26-2004
EP162014,TD16,2014,9,09-10-2014,09-16-2014
EP162015,TD16,2015,9,09-20-2015,09-21-2015
EP162019,NARDA,2019,9,09-28-2019,10-01-2019
EP172006,PAUL,2006,10,10-21-2006,10-26-2006
EP182013,SONIA,2013,11,11-01-2013,11-04-2013
EP182017,PILAR,2017,9,09-22-2017,09-25-2017
EP192018,TD19,2018,9,09-19-2018,09-20-2018
EP202009,RICK,2009,10,10-15-2009,10-21-2009
EP202015,PATRICIA,2015,10,10-20-2015,10-24-2015
EP212018,SERGIO,2018,9,09-29-2018,10-12-2018
EP222015,SANDRA,2015,11,11-23-2015,11-29-2015
EP242018,WILLA,2018,10,10-19-2018,10-24-2018
